pedigree,female,male,env,blue
ATx2923/RTx2936,ATx2923,RTx2936,19TA,66.779
ATx2924/R05386,ATx2924,R05386,19TA,66.979
ATx2924/R05512,ATx2924,R05512,19TA,66.214
ATx2924/R11158,ATx2924,R11158,19TA,67.124
ATx2924/RTx2918,ATx2924,RTx2918,19TA,66.724
ATx2924/RTx2936,ATx2924,RTx2936,19TA,66.979
ATx2924/RTx2941,ATx2924,RTx2941,19TA,65.684
ATx2926/R05393,ATx2926,R05393,19TA,67.084
ATx2926/R07161,ATx2926,R07161,19TA,66.924
ATx2926/R08304,ATx2926,R08304,19TA,67.074
ATx2926/RTx2913,ATx2926,RTx2913,19TA,66.214
ATx2926/RTx2919,ATx2926,RTx2919,19TA,67.159
ATx2927/R12157,ATx2927,R12157,19TA,66.829
