wave,V1,V2
774.5,0.664211668,1.14E-47
775,0.663606749,1.47E-47
775.5,0.663002469,1.91E-47
776,0.662399342,2.48E-47
776.5,0.661797427,3.20E-47
777,0.661196629,4.14E-47
777.5,0.660597242,5.35E-47
778,0.659999442,6.90E-47
778.5,0.659403271,8.88E-47
779,0.658808995,1.14E-46
779.5,0.658216373,1.47E-46
780,0.657625558,1.88E-46
780.5,0.657036534,2.41E-46
781,0.656449375,3.08E-46
781.5,0.65586417,3.94E-46
782,0.655280796,5.03E-46
782.5,0.654699147,6.41E-46
783,0.654119264,8.15E-46
783.5,0.653541002,1.04E-45
784,0.652964339,1.32E-45
784.5,0.652389506,1.67E-45
785,0.651815952,2.11E-45
785.5,0.651243879,2.67E-45
786,0.650673075,3.38E-45
786.5,0.65010364,4.27E-45
787,0.649535645,5.38E-45
787.5,0.648968732,6.78E-45
788,0.648403021,8.54E-45
788.5,0.647838556,1.07E-44
789,0.647275183,1.35E-44
789.5,0.646712922,1.69E-44
790,0.64615187,2.12E-44
790.5,0.645591685,2.66E-44
791,0.645032503,3.33E-44
791.5,0.644474283,4.17E-44
792,0.643916772,5.21E-44
792.5,0.643360263,6.51E-44
793,0.642804429,8.12E-44
793.5,0.64224948,1.01E-43
794,0.641695407,1.26E-43
794.5,0.641142813,1.57E-43
795,0.640591273,1.95E-43
795.5,0.640041178,2.43E-43
796,0.639492571,3.01E-43
796.5,0.638945961,3.73E-43
797,0.638401067,4.62E-43
797.5,0.637858158,5.71E-43
798,0.637317094,7.06E-43
798.5,0.63677783,8.71E-43
799,0.636240411,1.07E-42
799.5,0.635704297,1.32E-42
800,0.635169645,1.63E-42
800.5,0.634636145,2.00E-42
801,0.634103807,2.45E-42
801.5,0.633572866,3.01E-42
802,0.633042826,3.69E-42
802.5,0.632514602,4.52E-42
803,0.631987683,5.53E-42
803.5,0.631462937,6.76E-42
804,0.630940347,8.25E-42
804.5,0.630420359,1.01E-41
805,0.629903054,1.22E-41
805.5,0.629388813,1.49E-41
806,0.628877601,1.80E-41
806.5,0.628369612,2.19E-41
807,0.627864612,2.64E-41
807.5,0.627362624,3.19E-41
808,0.626863875,3.85E-41
808.5,0.62636814,4.64E-41
809,0.625875438,5.58E-41
809.5,0.625385698,6.70E-41
810,0.624898934,8.04E-41
810.5,0.624415138,9.62E-41
811,0.623934651,1.15E-40
811.5,0.62345738,1.37E-40
812,0.622983114,1.64E-40
812.5,0.622512218,1.95E-40
813,0.622044422,2.32E-40
813.5,0.621579828,2.75E-40
814,0.621118139,3.26E-40
814.5,0.620659429,3.86E-40
815,0.62020373,4.56E-40
815.5,0.619750857,5.38E-40
816,0.619300402,6.34E-40
816.5,0.618852512,7.47E-40
817,0.618407423,8.78E-40
817.5,0.617964651,1.03E-39
818,0.617524371,1.21E-39
818.5,0.617086605,1.42E-39
819,0.616651303,1.66E-39
819.5,0.616218584,1.94E-39
820,0.615788605,2.27E-39
820.5,0.615361227,2.65E-39
821,0.614936633,3.08E-39
821.5,0.61451493,3.59E-39
822,0.614096428,4.17E-39
822.5,0.613680854,4.84E-39
823,0.613268304,5.61E-39
823.5,0.612859171,6.49E-39
824,0.612452993,7.50E-39
824.5,0.612050551,8.66E-39
825,0.611651337,9.98E-39
825.5,0.611255336,1.15E-38
826,0.610862454,1.32E-38
826.5,0.61047297,1.52E-38
827,0.610086786,1.74E-38
827.5,0.609703682,1.99E-38
828,0.609323923,2.27E-38
828.5,0.608947006,2.60E-38
829,0.608573315,2.96E-38
829.5,0.608202501,3.37E-38
830,0.607834792,3.84E-38
830.5,0.607469758,4.36E-38
831,0.607107677,4.95E-38
831.5,0.606748179,5.61E-38
832,0.606391294,6.36E-38
