"","pedigree","female","male","env","blue"
"414","A03121/R07178","A03121","R07178","19TA",7554.0807
"415","A03121/R08303","A03121","R08303","19TA",5316.4157
"416","A03121/RTx2913","A03121","RTx2913","19TA",6286.1751
"417","A03121/RTx2935","A03121","RTx2935","19TA",6295.5903
"418","A05071/R02107","A05071","R02107","19TA",6170.0551
"419","A05071/R05330","A05071","R05330","19TA",6584.3212
"420","A05071/R05425","A05071","R05425","19TA",6578.0445
"421","A05071/R11158","A05071","R11158","19TA",6565.491
"422","A05071/RTx2936","A05071","RTx2936","19TA",5978.6139
"423","A05210/R03248","A05210","R03248","19TA",6044.5199
"424","A05210/R05405","A05210","R05405","19TA",6060.2118
"425","A05210/R08224","A05210","R08224","19TA",6606.2899
"426","A05210/R12154","A05210","R12154","19TA",6763.2089
"427","A05210/RTx2937","A05210","RTx2937","19TA",6490.1698
"428","A05210/RTx2943","A05210","RTx2943","19TA",6370.9114
"429","A05269/R05330","A05269","R05330","19TA",7387.7465
"430","A05269/R08303","A05269","R08303","19TA",6794.5927
"431","A05269/R11208","A05269","R11208","19TA",6807.1462
"432","A05269/RTx2919","A05269","RTx2919","19TA",6524.692
"433","A05269/RTx2943","A05269","RTx2943","19TA",6292.4519
"434","A06035/R03248","A06035","R03248","19TA",6148.0864
"435","A06035/R12154","A06035","R12154","19TA",7158.6448
"436","A06035/RTx2917","A06035","RTx2917","19TA",6119.841
"437","A06035/RTx2936","A06035","RTx2936","19TA",6314.4206
"438","A06036/R08306","A06036","R08306","19TA",5501.5801
"439","A06036/RTx2940","A06036","RTx2940","19TA",4359.2098
"440","A07118/R08224","A07118","R08224","19TA",7550.9423
"441","A07118/R12145","A07118","R12145","19TA",6499.585
"442","A07118/R12157","A07118","R12157","19TA",6606.2899
"443","A07118/RTx2944","A07118","RTx2944","19TA",6753.7938
"444","A07124/R04060","A07124","R04060","19TA",7397.1617
