pedigree,female,male,env,blue
ATx2923/R11208,ATx2923,R11208,19TA,70
ATx2923/RTx2913,ATx2923,RTx2913,19TA,71.5
ATx2923/RTx2936,ATx2923,RTx2936,19TA,70
ATx2924/R05386,ATx2924,R05386,19TA,69.5
ATx2924/R05512,ATx2924,R05512,19TA,71
ATx2924/R11158,ATx2924,R11158,19TA,69
ATx2924/RTx2918,ATx2924,RTx2918,19TA,70
ATx2924/RTx2936,ATx2924,RTx2936,19TA,69.5
ATx2924/RTx2941,ATx2924,RTx2941,19TA,70
ATx2926/R05393,ATx2926,R05393,19TA,70
ATx2926/R07161,ATx2926,R07161,19TA,71.5
ATx2926/R08304,ATx2926,R08304,19TA,69
ATx2926/RTx2913,ATx2926,RTx2913,19TA,71.5
ATx2926/RTx2919,ATx2926,RTx2919,19TA,69.5
ATx2927/R12157,ATx2927,R12157,19TA,72.5
ATx2927/RTx2937,ATx2927,RTx2937,19TA,69.5
ATx2930/R02107,ATx2930,R02107,19TA,69.5
ATx2930/R05393,ATx2930,R05393,19TA,70
ATx2930/R07178,ATx2930,R07178,19TA,69
ATx2930/R11158,ATx2930,R11158,19TA,69
ATx2930/R12154,ATx2930,R12154,19TA,69
ATx2930/RTx2940,ATx2930,RTx2940,19TA,67.5
ATx2931/R01302,ATx2931,R01302,19TA,69
ATx2931/R07161,ATx2931,R07161,19TA,69.5
ATx2931/R08304,ATx2931,R08304,19TA,69.5
ATx2931/R11208,ATx2931,R11208,19TA,68.5
ATx2931/RTx2940,ATx2931,RTx2940,19TA,67
ATx2934/R05386,ATx2934,R05386,19TA,67
ATx2934/R11208,ATx2934,R11208,19TA,70
ATx2934/RTx2935,ATx2934,RTx2935,19TA,69.5
ATx3408/R05330,ATx3408,R05330,19TA,70
ATx3408/RTx2935,ATx3408,RTx2935,19TA,70
ATx644/R05330,ATx644,R05330,19TA,71.5
ATx644/RTx2935,ATx644,RTx2935,19TA,69
A01021/R01302,A01021,R01302,20CS,80
A01021/R02107,A01021,R02107,20CS,81.5
A01021/R05425,A01021,R05425,20CS,81.5
