pedigree,female,male,env,blue
ATx2923/RTx2936,ATx2923,RTx2936,19TA,2.776
ATx2924/R05386,ATx2924,R05386,19TA,3.071
ATx2924/R05512,ATx2924,R05512,19TA,2.611
ATx2924/R11158,ATx2924,R11158,19TA,2.566
ATx2924/RTx2918,ATx2924,RTx2918,19TA,2.981
ATx2924/RTx2936,ATx2924,RTx2936,19TA,3.046
ATx2924/RTx2941,ATx2924,RTx2941,19TA,3.001
ATx2926/R05393,ATx2926,R05393,19TA,3.441
ATx2926/R07161,ATx2926,R07161,19TA,3.076
ATx2926/R08304,ATx2926,R08304,19TA,3.176
ATx2926/RTx2913,ATx2926,RTx2913,19TA,3.441
ATx2926/RTx2919,ATx2926,RTx2919,19TA,3.041
ATx2927/R12157,ATx2927,R12157,19TA,2.976
